DataSet,Num Features,Gene List,Model,Precision,Recall,Accuracy,F1,AUROC
mRNA,64,Cell Death,KNN,0.6176470588235294,0.6,0.6142857142857143,0.608695652173913,0.6277551020408163
mRNA,64,Cell Death,RF,0.711864406779661,0.6,0.6785714285714286,0.6511627906976744,0.7468367346938776
mRNA,64,Cell Death,NB,0.5194805194805194,0.5714285714285714,0.5214285714285715,0.5442176870748299,0.5895918367346938
Methylation,63,Cell Death,LR,0.7432432432432432,0.7857142857142857,0.7571428571428571,0.7638888888888888,0.8253061224489796
Methylation,63,Cell Death,KNN,0.7333333333333333,0.7857142857142857,0.75,0.7586206896551724,0.7737755102040816
Methylation,63,Cell Death,RF,0.7377049180327869,0.6428571428571429,0.7071428571428572,0.6870229007633588,0.7911224489795919
Methylation,63,Cell Death,NB,0.6041666666666666,0.4142857142857143,0.5714285714285714,0.4915254237288136,0.7112244897959183
Proteomics,5,Cell Death,LR,0.6417910447761194,0.6142857142857143,0.6357142857142857,0.6277372262773724,0.5883673469387755
Proteomics,5,Cell Death,KNN,0.631578947368421,0.6857142857142857,0.6428571428571429,0.6575342465753424,0.6928571428571428
Proteomics,5,Cell Death,RF,0.6065573770491803,0.5285714285714286,0.5928571428571429,0.5648854961832062,0.6419387755102041
Proteomics,5,Cell Death,NB,0.4948453608247423,0.6857142857142857,0.4928571428571429,0.5748502994011976,0.5244897959183673
Multiomics,263,Cell Growth and Death,LR,0.7105263157894737,0.7714285714285715,0.7285714285714285,0.7397260273972601,0.7620408163265306
Multiomics,263,Cell Growth and Death,KNN,0.6557377049180327,0.5714285714285714,0.6357142857142857,0.6106870229007633,0.6781632653061224
Multiomics,263,Cell Growth and Death,RF,0.7692307692307693,0.7142857142857143,0.75,0.7407407407407408,0.8239795918367347
Multiomics,263,Cell Growth and Death,NB,0.6379310344827587,0.5285714285714286,0.6142857142857143,0.5781249999999999,0.671734693877551
mRNA,127,Cell Growth and Death,LR,0.6388888888888888,0.6571428571428571,0.6428571428571429,0.647887323943662,0.6520408163265307
mRNA,127,Cell Growth and Death,KNN,0.6349206349206349,0.5714285714285714,0.6214285714285714,0.6015037593984962,0.6385714285714286
mRNA,127,Cell Growth and Death,RF,0.703125,0.6428571428571429,0.6857142857142857,0.6716417910447762,0.7874489795918368
mRNA,127,Cell Growth and Death,NB,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.6218367346938775
Methylation,126,Cell Growth and Death,LR,0.7534246575342466,0.7857142857142857,0.7642857142857142,0.7692307692307693,0.7955102040816326
Methylation,126,Cell Growth and Death,KNN,0.7105263157894737,0.7714285714285715,0.7285714285714285,0.7397260273972601,0.7617346938775511
Methylation,126,Cell Growth and Death,RF,0.7833333333333333,0.6714285714285714,0.7428571428571429,0.7230769230769231,0.8158163265306122
Methylation,126,Cell Growth and Death,NB,0.6274509803921569,0.45714285714285713,0.5928571428571429,0.5289256198347108,0.6844897959183673
Proteomics,10,Cell Growth and Death,LR,0.6,0.6428571428571429,0.6071428571428571,0.6206896551724138,0.5577551020408164
Proteomics,10,Cell Growth and Death,KNN,0.5844155844155844,0.6428571428571429,0.5928571428571429,0.6122448979591837,0.6619387755102041
Proteomics,10,Cell Growth and Death,RF,0.5873015873015873,0.5285714285714286,0.5785714285714286,0.556390977443609,0.6476530612244897
Proteomics,10,Cell Growth and Death,NB,0.4888888888888889,0.6285714285714286,0.4857142857142857,0.5499999999999999,0.4483673469387755
Multiomics,95,RF1_50,LR,0.7323943661971831,0.7428571428571429,0.7357142857142858,0.7375886524822696,0.809795918367347
Multiomics,95,RF1_50,KNN,0.7313432835820896,0.7,0.7214285714285714,0.7153284671532848,0.75
Multiomics,95,RF1_50,RF,0.75,0.7714285714285715,0.7571428571428571,0.7605633802816902,0.818469387755102
Multiomics,95,RF1_50,NB,0.6440677966101694,0.5428571428571428,0.6214285714285714,0.5891472868217054,0.7290816326530611
mRNA,49,RF1_50,LR,0.7352941176470589,0.7142857142857143,0.7285714285714285,0.7246376811594202,0.7895918367346938
mRNA,49,RF1_50,KNN,0.7454545454545455,0.5857142857142857,0.6928571428571428,0.656,0.7053061224489796
mRNA,49,RF1_50,RF,0.7301587301587301,0.6571428571428571,0.7071428571428572,0.6917293233082706,0.7801020408163266
mRNA,49,RF1_50,NB,0.7222222222222222,0.7428571428571429,0.7285714285714285,0.732394366197183,0.82
Methylation,46,RF1_50,LR,0.7297297297297297,0.7714285714285715,0.7428571428571429,0.75,0.7177551020408164
Methylation,46,RF1_50,KNN,0.7183098591549296,0.7285714285714285,0.7214285714285714,0.7234042553191489,0.759795918367347
Methylation,46,RF1_50,RF,0.7241379310344828,0.6,0.6857142857142857,0.65625,0.8058163265306122
Methylation,46,RF1_50,NB,0.5434782608695652,0.35714285714285715,0.5285714285714286,0.43103448275862066,0.6273469387755102
Multiomics,47,RF1_25,LR,0.6557377049180327,0.5714285714285714,0.6357142857142857,0.6106870229007633,0.7163265306122449
Multiomics,47,RF1_25,KNN,0.6818181818181818,0.6428571428571429,0.6714285714285714,0.6617647058823529,0.7251020408163266
Multiomics,47,RF1_25,RF,0.8103448275862069,0.6714285714285714,0.7571428571428571,0.7343749999999999,0.8467346938775511
Multiomics,47,RF1_25,NB,0.5967741935483871,0.5285714285714286,0.5857142857142857,0.5606060606060607,0.6836734693877551
mRNA,24,RF1_25,LR,0.6935483870967742,0.6142857142857143,0.6714285714285714,0.6515151515151515,0.7087755102040816
mRNA,24,RF1_25,KNN,0.6666666666666666,0.5142857142857142,0.6285714285714286,0.5806451612903226,0.6918367346938776
mRNA,24,RF1_25,RF,0.6896551724137931,0.5714285714285714,0.6571428571428571,0.625,0.7179591836734693
mRNA,24,RF1_25,NB,0.6666666666666666,0.6857142857142857,0.6714285714285714,0.676056338028169,0.7595918367346938
Methylation,23,RF1_25,LR,0.6933333333333334,0.7428571428571429,0.7071428571428572,0.7172413793103448,0.6730612244897959
Methylation,23,RF1_25,KNN,0.7397260273972602,0.7714285714285715,0.75,0.7552447552447553,0.7929591836734693
Methylation,23,RF1_25,RF,0.6666666666666666,0.5428571428571428,0.6357142857142857,0.5984251968503936,0.7729591836734695
Methylation,23,RF1_25,NB,0.4444444444444444,0.2857142857142857,0.4642857142857143,0.34782608695652173,0.5797959183673469
