Dataset,Gene List,Model,FPR,TPR,Thresholds
mRNA,mRNA Var,KNN,0.6857142857142857,0.8857142857142857,0.4
mRNA,mRNA Var,KNN,0.9,0.9571428571428572,0.2
mRNA,mRNA Var,KNN,1.0,1.0,0.0
mRNA,mRNA Var,RF,0.0,0.0,2.0
mRNA,mRNA Var,RF,0.014285714285714285,0.2571428571428571,1.0
mRNA,mRNA Var,RF,0.014285714285714285,0.44285714285714284,0.9
mRNA,mRNA Var,RF,0.014285714285714285,0.6142857142857143,0.8
mRNA,mRNA Var,RF,0.02857142857142857,0.7857142857142857,0.7
mRNA,mRNA Var,RF,0.1,0.8571428571428571,0.6
mRNA,mRNA Var,RF,0.11428571428571428,0.9571428571428572,0.5
mRNA,mRNA Var,RF,0.24285714285714285,0.9571428571428572,0.4
mRNA,mRNA Var,RF,0.37142857142857144,0.9857142857142858,0.3
mRNA,mRNA Var,RF,0.4857142857142857,1.0,0.2
mRNA,mRNA Var,RF,0.7142857142857143,1.0,0.1
mRNA,mRNA Var,RF,1.0,1.0,0.0
mRNA,mRNA Var,NB,0.0,0.0,1.9999999999999005
mRNA,mRNA Var,NB,0.0,0.014285714285714285,0.9999999999999005
mRNA,mRNA Var,NB,0.0,0.05714285714285714,0.9998960210965732
mRNA,mRNA Var,NB,0.014285714285714285,0.05714285714285714,0.999799294598531
mRNA,mRNA Var,NB,0.014285714285714285,0.07142857142857142,0.9981824622039175
mRNA,mRNA Var,NB,0.04285714285714286,0.07142857142857142,0.9958149951920993
mRNA,mRNA Var,NB,0.04285714285714286,0.2,0.9673428505441801
mRNA,mRNA Var,NB,0.07142857142857142,0.2,0.9571556386948049
mRNA,mRNA Var,NB,0.07142857142857142,0.2714285714285714,0.9424454888242279
mRNA,mRNA Var,NB,0.08571428571428572,0.2714285714285714,0.9417210009819442
mRNA,mRNA Var,NB,0.08571428571428572,0.35714285714285715,0.8808106751772012
mRNA,mRNA Var,NB,0.1,0.35714285714285715,0.8798125774339937
mRNA,mRNA Var,NB,0.1,0.4,0.844653884868062
mRNA,mRNA Var,NB,0.12857142857142856,0.4,0.8290431042553904
mRNA,mRNA Var,NB,0.12857142857142856,0.5,0.7710174845932767
mRNA,mRNA Var,NB,0.14285714285714285,0.5,0.7662902277229561
mRNA,mRNA Var,NB,0.14285714285714285,0.6142857142857143,0.7008829189038226
mRNA,mRNA Var,NB,0.18571428571428572,0.6142857142857143,0.6727093646303495
